,date,o3
1358083,2013-03-14,0.039
1358087,2013-03-15,0.04
1358091,2013-03-16,0.049
1358095,2013-03-17,0.053
1358099,2013-03-18,0.049
1358103,2013-03-19,0.044
1358107,2013-03-20,0.036
1358111,2013-03-21,0.044
1358115,2013-03-22,0.044
1358119,2013-03-23,0.052
1358123,2013-03-24,0.055
1358127,2013-03-25,0.051
1358131,2013-03-26,0.049
1358135,2013-03-27,0.043
1358139,2013-03-28,0.04
1358143,2013-03-29,0.035
1358147,2013-03-30,0.029
1358151,2013-03-31,0.029
1358155,2013-04-01,0.038
1358159,2013-04-02,0.04
1358163,2013-04-03,0.051
1358167,2013-04-04,0.046
1358171,2013-04-05,0.034
1358175,2013-04-06,0.041
1358179,2013-04-07,0.042
1358183,2013-04-08,0.047
1358187,2013-04-09,0.046
1358191,2013-04-10,0.05
1358195,2013-04-11,0.04
1358199,2013-04-12,0.047
1358203,2013-04-13,0.045
1358207,2013-04-14,0.04
1358211,2013-04-15,0.04
1358215,2013-04-16,0.043
1358219,2013-04-17,0.051
1358223,2013-04-18,0.058
1358227,2013-04-19,0.058
1358231,2013-04-20,0.056
1358235,2013-04-21,0.045
1358239,2013-04-22,0.047
1358243,2013-04-23,0.048
1358247,2013-04-24,0.045
1358251,2013-04-25,0.039
1358255,2013-04-26,0.037
1358259,2013-04-27,0.044
1358263,2013-04-28,0.049
1358267,2013-04-29,0.045
1358271,2013-04-30,0.044
1358275,2013-05-01,0.044
1358279,2013-05-02,0.053
1358283,2013-05-03,0.075
1358287,2013-05-04,0.056
1358291,2013-05-05,0.05
1358295,2013-05-06,0.037
1358299,2013-05-07,0.046
1358303,2013-05-08,0.042
1358307,2013-05-09,0.042
1358311,2013-05-10,0.046
1358315,2013-05-11,0.052
1358319,2013-05-12,0.065
1358323,2013-05-13,0.055
1358327,2013-05-14,0.04
1358331,2013-05-15,0.045
1358335,2013-05-16,0.045
1358339,2013-05-17,0.044
1358343,2013-05-18,0.041
1358347,2013-05-19,0.044
1358351,2013-05-20,0.045
1358355,2013-05-21,0.048
1358359,2013-05-22,0.048
1358363,2013-05-23,0.048
1358367,2013-05-24,0.048
1358371,2013-05-25,0.05
1358375,2013-05-26,0.043
1358379,2013-05-27,0.042
1358383,2013-05-28,0.035
1358387,2013-05-29,0.04
1358390,2013-05-30,0.039
1358393,2013-06-04,0.045
1358397,2013-06-05,0.045
1358401,2013-06-06,0.042
1358405,2013-06-07,0.047
1358409,2013-06-08,0.038
1358413,2013-06-09,0.041
1358417,2013-06-10,0.042
1358421,2013-06-11,0.035
1358425,2013-06-12,0.038
1358429,2013-06-13,0.045
1358433,2013-06-14,0.041
1358437,2013-06-15,0.049
1358441,2013-06-16,0.055
1358445,2013-06-17,0.05
1358449,2013-06-18,0.038
1358453,2013-06-19,0.038
1358457,2013-06-20,0.036
1358461,2013-06-21,0.04
1358465,2013-06-22,0.04
1358469,2013-06-23,0.04
1358473,2013-06-24,0.034
1358477,2013-06-25,0.023
1358481,2013-06-26,0.026
1358485,2013-06-27,0.029
1358489,2013-06-28,0.033
1358493,2013-06-29,0.044
1358497,2013-06-30,0.029
1358501,2013-07-01,0.026
1358505,2013-07-02,0.024
1358509,2013-07-03,0.028
1358513,2013-07-04,0.032
1358517,2013-07-05,0.027
1358521,2013-07-06,0.029
1358525,2013-07-07,0.044
1358529,2013-07-08,0.04
1358533,2013-07-09,0.035
1358537,2013-07-10,0.031
1358541,2013-08-09,0.039
1358545,2013-08-10,0.042
1358549,2013-08-11,0.044
1358553,2013-08-12,0.044
1358557,2013-08-13,0.046
1358561,2013-08-14,0.047
1358565,2013-08-15,0.047
1358569,2013-08-16,0.04
1358573,2013-08-17,0.042
1358577,2013-08-18,0.036
1358581,2013-08-19,0.037
1358585,2013-08-20,0.04
1358589,2013-08-21,0.032
1358593,2013-08-22,0.032
1358597,2013-08-23,0.04
1358601,2013-08-24,0.054
1358605,2013-08-25,0.051
1358609,2013-08-26,0.046
1358613,2013-08-27,0.034
1358617,2013-08-28,0.039
1358621,2013-08-29,0.037
1358625,2013-08-30,0.043
1358629,2013-08-31,0.035
1358633,2013-09-01,0.03
1358637,2013-09-02,0.031
1358641,2013-09-03,0.025
1358645,2013-09-04,0.037
1358649,2013-09-05,0.044
1358653,2013-09-06,0.055
1358657,2013-09-07,0.083
1358661,2013-09-08,0.043
1358665,2013-09-09,0.038
1358669,2013-09-10,0.037
1358673,2013-09-11,0.039
1358677,2013-09-12,0.047
1358681,2013-09-13,0.041
1358685,2013-09-14,0.061
1358689,2013-09-15,0.054
1358693,2013-09-16,0.038
1358697,2013-09-17,0.042
1358701,2013-09-18,0.043
1358705,2013-09-19,0.05
1358709,2013-09-20,0.053
1358713,2013-09-21,0.056
1358717,2013-09-22,0.046
1358721,2013-09-23,0.061
1358725,2013-09-24,0.057
1358729,2013-09-25,0.048
1358733,2013-09-26,0.047
1358737,2013-09-27,0.047
1358741,2013-09-28,0.059
1358745,2013-09-29,0.059
1358749,2013-09-30,0.055
1358753,2013-10-01,0.045
1358757,2013-10-02,0.044
1358761,2013-10-03,0.049
1358765,2013-10-04,0.054
1358769,2013-10-05,0.053
1358773,2013-10-06,0.065
1358777,2013-10-07,0.052
1358781,2013-10-08,0.047
1358785,2013-10-09,0.045
1358789,2013-10-10,0.044
1358793,2013-10-11,0.048
1358797,2013-10-12,0.048
1358801,2013-10-13,0.051
1358805,2013-10-14,0.046
1358809,2013-10-15,0.043
1358813,2013-10-16,0.048
1358817,2013-10-17,0.055
1358821,2013-10-18,0.054
1358825,2013-10-19,0.061
1358829,2013-10-20,0.056
1358833,2013-10-21,0.056
1358837,2013-10-22,0.056
1358841,2013-10-23,0.04
1358845,2013-10-24,0.058
1358849,2013-10-25,0.053
1358853,2013-10-26,0.047
1358857,2013-10-27,0.059
1358861,2013-10-28,0.04
1358865,2013-10-29,0.04
1358869,2013-10-30,0.038
1358873,2013-10-31,0.036
1358877,2013-11-01,0.028
1358881,2013-11-02,0.05
1358885,2013-11-03,0.053
1358889,2013-11-04,0.044
1358893,2013-11-05,0.043
1358897,2013-11-06,0.031
1358901,2013-11-07,0.026
1358905,2013-11-08,0.038
1358909,2013-11-09,0.055
1358913,2013-11-10,0.052
1358917,2013-11-11,0.052
1358921,2013-11-12,0.011
1358925,2013-11-13,0.026
1358929,2013-11-14,0.048
1358933,2013-11-15,0.047
1358937,2013-11-16,0.047
1358941,2013-11-17,0.049
1358945,2013-12-04,0.039
1358949,2013-12-05,0.043
1358953,2013-12-06,0.046
1358957,2013-12-07,0.041
1358961,2013-12-08,0.036
1358965,2013-12-09,0.039
1358969,2013-12-10,0.022
1358973,2013-12-11,0.018
1358977,2013-12-12,0.026
1358981,2013-12-13,0.041
1358985,2013-12-14,0.023
1358989,2013-12-15,0.027
1358993,2013-12-16,0.018
1358997,2013-12-17,0.02
1359001,2013-12-18,0.041
1359005,2013-12-19,0.041
1359009,2013-12-20,0.032
1359013,2013-12-21,0.042
1359017,2013-12-22,0.037
1359021,2013-12-23,0.028
1359025,2013-12-24,0.021
1359029,2013-12-25,0.046
1359033,2013-12-26,0.026
1359037,2013-12-27,0.01
1359041,2013-12-28,0.035
1359045,2013-12-29,0.037
1359049,2013-12-30,0.031
1359053,2013-12-31,0.025
1359057,2013-01-03,0.042
1359059,2013-01-03,0.042
1359065,2013-01-04,0.028
1359067,2013-01-04,0.028
1359073,2013-01-05,0.028
1359075,2013-01-05,0.028
1359081,2013-01-06,0.035
1359083,2013-01-06,0.035
1359089,2013-01-08,0.035
1359091,2013-01-08,0.035
1359097,2013-01-09,0.023
1359099,2013-01-09,0.023
1359105,2013-01-10,0.039
1359107,2013-01-10,0.039
1359113,2013-01-11,0.031
1359115,2013-01-11,0.031
1359121,2013-01-12,0.038
1359123,2013-01-12,0.038
1359129,2013-01-13,0.04
1359131,2013-01-13,0.04
1359137,2013-01-14,0.041
1359139,2013-01-14,0.041
1359145,2013-01-15,0.036
1359147,2013-01-15,0.036
1359153,2013-01-16,0.036
1359155,2013-01-16,0.036
1359161,2013-01-17,0.041
1359163,2013-01-17,0.041
1359169,2013-01-18,0.037
1359171,2013-01-18,0.037
1359177,2013-01-19,0.04
1359179,2013-01-19,0.04
1359185,2013-01-20,0.04
1359187,2013-01-20,0.04
1359193,2013-01-21,0.037
1359195,2013-01-21,0.037
1359201,2013-01-22,0.027
1359203,2013-01-22,0.027
1359209,2013-01-23,0.011
1359211,2013-01-23,0.011
1359217,2013-01-24,0.013
1359219,2013-01-24,0.013
1359225,2013-01-25,0.011
1359227,2013-01-25,0.011
1359233,2013-01-26,0.024
1359235,2013-01-26,0.024
1359241,2013-01-27,0.04
1359243,2013-01-27,0.04
1359249,2013-01-28,0.033
1359251,2013-01-28,0.033
1359257,2013-01-29,0.026
1359259,2013-01-29,0.026
1359265,2013-01-30,0.023
1359267,2013-01-30,0.023
1359273,2013-01-31,0.03
1359275,2013-01-31,0.03
1359281,2013-02-01,0.028
1359283,2013-02-01,0.028
1359289,2013-02-02,0.016
1359291,2013-02-02,0.016
1359297,2013-02-03,0.04
1359299,2013-02-03,0.04
1359305,2013-02-04,0.033
1359307,2013-02-04,0.033
1359313,2013-02-05,0.022
1359315,2013-02-05,0.022
1359321,2013-02-06,0.036
1359323,2013-02-06,0.036
1359329,2013-02-07,0.043
1359331,2013-02-07,0.043
1359337,2013-02-08,0.036
1359339,2013-02-08,0.036
1359345,2013-02-09,0.036
1359347,2013-02-09,0.036
1359353,2013-02-10,0.04
1359355,2013-02-10,0.04
1359361,2013-02-11,0.041
1359363,2013-02-11,0.041
1359369,2013-02-12,0.034
1359371,2013-02-12,0.034
1359377,2013-02-13,0.03
1359379,2013-02-13,0.03
1359385,2013-02-14,0.038
1359387,2013-02-14,0.038
1359393,2013-02-15,0.041
1359395,2013-02-15,0.041
1359401,2013-02-16,0.046
1359403,2013-02-16,0.046
1359409,2013-02-17,0.051
1359411,2013-02-17,0.051
1359417,2013-02-18,0.043
1359419,2013-02-18,0.043
1359425,2013-02-19,0.04
1359427,2013-02-19,0.04
1359433,2013-02-20,0.036
1359435,2013-02-20,0.036
1359441,2013-02-21,0.038
1359443,2013-02-21,0.038
1359449,2013-02-22,0.038
1359451,2013-02-22,0.038
1359457,2013-02-23,0.044
1359459,2013-02-23,0.044
1359465,2013-02-24,0.043
1359467,2013-02-24,0.043
1359473,2013-02-25,0.046
1359475,2013-02-25,0.046
1359481,2013-02-26,0.044
1359483,2013-02-26,0.044
1359489,2013-02-27,0.046
1359491,2013-02-27,0.046
1359497,2013-02-28,0.033
1359499,2013-02-28,0.033
1359505,2013-03-01,0.043
1359507,2013-03-01,0.043
1359513,2013-03-02,0.051
1359515,2013-03-02,0.051
1359521,2013-03-03,0.048
1359523,2013-03-03,0.048
1359529,2013-03-04,0.04
1359531,2013-03-04,0.04
1359537,2013-03-05,0.036
1359539,2013-03-05,0.036
1359545,2013-03-06,0.044
1359547,2013-03-06,0.044
1359553,2013-03-07,0.041
1359555,2013-03-07,0.041
1359561,2013-03-08,0.041
1359563,2013-03-08,0.041
1359569,2013-03-09,0.043
1359571,2013-03-09,0.043
1359577,2013-03-10,0.052
1359579,2013-03-10,0.052
1359585,2013-03-11,0.048
1359587,2013-03-11,0.048
1359593,2013-03-12,0.025
1359595,2013-03-12,0.025
1359601,2013-03-13,0.048
1359603,2013-03-13,0.048
